comment_text,sentiment_polarity,sentiment_label
The cinematography looks as good as Saving private ryan. No other movie has come this close.,0.1779,positive
"Guarantee some people will see this movie
 Just for Harry styles while not caring about the actual story.",-0.1601,negative
"See new Christopher Nolan film, click in 0.00000000000001 seconds",0.0,neutral
We learned about Dunkirk last year! I'm excited to see the movie,0.4003,positive
ha! Bane in a Plane.,0.4003,positive
Just came for Harry styles,0.0,neutral
"yay, more allied propaganda.",0.2782,positive
Christopher Nolan means awesomeness............,0.0,neutral
Just watched this and I so wish I had watched this in IMAX :(,0.1509,positive
Why didn't Chris Nolan took his regular actors like bale or Leo in this great movie....!!!,0.8501,positive
"Tom Hardy: So you came to die with your Luftwaffe forces?
 
 Nazis: No. we came to stop you",-0.6808,negative
I don't understand. Why isn't the evacuation of Dunkirk being lead by a disabled black lesbian? #DunkirkSoWhite,0.0,neutral
"I don't care about some teeny bopper being in this movie, what I care about is that this story is finally being told in a way that the masses will pay attention to. Dunkirk was simultaneously a disaster and a miracle and it should never be forgotten.",-0.6474,negative
Fuckin right in the pussy :'v,0.0,neutral
"I'm here for Harry and I'm 22 so, sorry fuckers. Betta bring ear plugs ðŸ¤— Also, this movie looks really good. So so proud of Harryâ¤",0.237,positive
Wow it looks amazing,0.8225,positive
"looks great, love Nolan, but seriously, I think he forgot that there are other actors in Hollywood",0.4767,positive
This is hella intense,0.1513,positive
I know I'm going to be dissapointed because this has me expecting something on par if not better than spr. Hope I'm wrong and it's awesome,0.3599,positive
"The French complain that they weren't represented well in this film, in that 35000 stood their ground while they covered for the retreating British. Yet looking at France today, they've voted in an extreme globalist nut job and rolled over to countless muslim refugees, only to turn their once great country into an unrecognizable 3rd world shit hole. Talk about choosing the wrong battles and not having your priorities in order.",-0.8183,negative
Can't wait to see my baby Harry Styles in theaters,0.0,neutral
No blood in a war movie?,-0.7269,negative
great film,0.6249,positive
another masterpiece is on its way..,0.6249,positive
"Is it really a tale of heroism when the Germans let them go? They could have easily killed them all, but Hitler wanted peace with Britain. Too bad fat, drunk, war-mongering Churchill disagreed. http://tomatobubble.com/dunkirk_movie_review.html",-0.6776,negative
I watched this movie today and it was AWESOME!!!!,0.0,neutral
I'm so excited !!!,0.5528,positive
All my friends have birthdays this year!!,0.5696,positive
Harry <33333,0.0,neutral
"I'm a fan of Harry, don't get me wrong, but why the FUCK is he all we're talking about in the comment section? How about some discussion about the actual movie? I'm interested to see how they portray the historical events. I'm interested in doing some research to learn more about the battle of Dunkirk. Let's shift this conversation, okay? Realize that the movie is about actual soldiers who died and risked their lives. Respect that please.",0.1586,positive
Harry ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜,0.0,neutral
Watch this movie today in PVR feel's like i am not watching nolan movie at all highly overrated and disappointed. I am nolan bigest fan from movie memento but the one movie is not upto the mark in his carrer is Dunkirk.,0.0562,positive
0:31 Its Gordan Ramsy,0.0,neutral
Fucking awesome!,0.6893,positive
AHA who's scared now Crane !,-0.4926,negative
Please stop making it about Harry. Harry is in it.. it doesn't mean he is the lead.. nobody knows alot.. nobody knows anything so please stop being ignorant and the fans like me are just excited please jus lets all enjoy the movie. ðŸ˜’,0.8715,positive
battlefield 1 vibe,-0.3818,negative
I want to watch this movie but I'm 12 so I can't but it looks so good,0.7401,positive
Brand New Congress 2018,0.0,neutral
"Tom Hardy, Kenneth Branagh, Cillian Murphy, Mark Rylance. Wow!",0.7777,positive
Interstellar still the best movie Christopher Nolan has made,0.6369,positive
"If the actual Belgians that were fighting and dying in Duinkerke will be
  left out, I'm gonna be disappointed and very angry at the same time..",-0.8479,negative
battle field 1 the movie,-0.3818,negative
"Decent film overall but a mediocre war film. Very slow paced and although it did deliver some degree of emotions it failed to show a darker horror of war. The happenings were sad but not horrifying, as they should have been. All in all an emotional sluggish Hollywood pseudo-war movie with a predictable ending that nullifies any kind of real fear for the actors throughout the film.",-0.9839,negative
I'll probably cry watching this movie knowing me,-0.4767,negative
I went to the cinema to watch this movie today and I can confirm that there are French soldiers in the movie.,0.0,neutral
harry my baby,0.0,neutral
shit Zimmer got me with his soundtrack at 1.44...amazing soundtrack with epic scenes...that will make this movie great..,-0.5574,negative
I would've never spotted Harry styles in this if the comment section wasn't so cancerous...,0.0,neutral
"Just watched it today, this is a one of its kind, you dont get to see such as a good movie these days.. totally worth your money, i recommend watching it in IMAX theaters to get the best experience for music and scenes",0.9348,positive
Is that scarecrow and Bane I see?,-0.2023,negative
welcome to battlefield 2,0.1027,positive
All kneel to captain NOLAN,0.0,neutral
Ø¬Ø§Ø§Ø§Ø­Ø¯,0.0,neutral
"for a person who loves history, im in.",0.5719,positive
Best film that shows how Brits fuck up the invasion on Germany ;),0.3818,positive
the ugly Face of war.....,-0.5106,negative
0:37 nice acting...,0.4215,positive
AJAJSJSJJWWKKQMW HARRY STYLES!!!!! SJJSKWNWOWMWKSMðŸ˜ðŸ˜ðŸ˜ðŸ”¥ðŸ˜ðŸ˜ðŸ”¥ðŸ˜ðŸ”¥ðŸ˜ðŸ”¥ðŸ˜ðŸ”¥ðŸ˜ðŸ”¥ðŸ˜ðŸ”¥ðŸ˜ðŸ˜ðŸ”¥ðŸ˜ðŸ’•ðŸ˜ðŸ’•ðŸ˜ðŸ’•ðŸ˜ðŸ˜ðŸ‘ŒðŸ˜ðŸ”¥ðŸ˜ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,0.0,neutral
is it Harry from One Direction,0.0,neutral
Everytime Harry there I was screaming and crying! 1D love forever,-0.2003,negative
"No, Spitfire doesn't have the Stuka siren",-0.296,negative
"The reverse of Agincourt! An unmitigated disaster turned into an feat of British arms. But since weÂ now all think ""European"", Dunkirk was a bit of a German Victory and and so was D-Day.",-0.4295,negative
"For those of you that don't know your history, this movie willÂ NOT be pretty. We all know it's a war movie; but thereÂ WILL be body parts. Looks great so far, tho.",0.5245,positive
I can't see Harry more. why he's so less !!??,0.0,neutral
IM SO READY FOR THIS. WHEN HARRY DROWNED I CRIED.,-0.5729,negative
That's one intense trailer.,0.0772,positive
Ð¤Ð¸Ð»ÑŒÐ¼ Ð¿Ñ€Ð¾ Ñ‚Ð¾ ÐºÐ°Ðº Ð¾Ð´Ð½Ð¸ ÑƒÐ±Ð»ÑŽÐ´ÐºÐ¸ Ð¼Ð¾Ñ‡Ð°Ñ‚ Ð´Ñ€ÑƒÐ³Ð¸Ñ….,0.0,neutral
amazing offer by'' uc news app '' join with me and earn 2700â‚¹ on your paypal or paytm hurry up offer limited person and submit my code 9613581.,0.6249,positive
shame that it will be PG-13 ..,-0.4767,negative
I want to watch this fantastic movie in cinema but I can't because of those harry styles fangirls... thanks a lot harry,0.7667,positive
"Summer 2017 looks so much better then Summer 2016. Hell, July alone has 3 I'm personally really looking forward to. This being one of them.",-0.5302,negative
"OH MY GOD, HARRY LOOKS SO FUCKING HOTðŸ˜© I CAN'T WAIT TO WATCH THIS MOVIE â¤",0.4278,positive
I just want a movie from the german perspective... that would be so cool.,0.5092,positive
"Nobody told me Cillian Murphy was in this movie, I'm so fucking ready for this",0.4716,positive
"On This Day: France Surrenders to Nazi Germany. On June 22, 1940, the French government signed an armistice with Nazi Germany just six weeks after the Nazis launched their invasion of Western Europe . 6 WEEKS!",0.2003,positive
All this stupid talk about Harry and here I am excited to see Cillian Murphy,-0.25,negative
I'm so ready for this,0.4201,positive
Harry ðŸ’—,0.0,neutral
"if directed by christopher nolan, so very good film. 
 waiting for dunkirk",0.5379,positive
"Just saw it with my son, who was anxious. Good film well worthy of recognition but personally won't be on my top 10 list. Very little dialogue and the plot jumps around, even though the common theme is survival. At one point near the end of the film a British pilot ran out of fuel and for what seemed like 30 minutes kept fighting. They over extended the screentime for that. LOUD action scenes so tell those with hearing aids to turn them down. Will be an awarded film and many will say best picture of the year and I won't argue, I just won't agree.",0.937,positive
"My precious baby Harry, so proud of him ðŸ’œðŸ’™",0.8267,positive
Back when men were fucking men,0.0,neutral
"I love Harry but I came to see Hardy, Tom Hardy! The guy in the plane!",0.8829,positive
oh my god im in tears,0.0516,positive
Why many people complains bout Harry being in the movie. There are many more other soldiers there and are y'all complain bout them? No. Harry doesn't even have a big ass role. So chill,-0.8689,negative
"hes fuckin overrated as fuck
 idont watch his movies anymore sorry.",-0.5859,negative
Reviews are out and the movie is amazing. In Nolan We Trust.,0.7964,positive
"BTW I love movies based on real life incidents, more importantly anything with war in it. I am sure I will love this as well.",0.8883,positive
1:21 it's the guy who plays The Bfg,0.25,positive
"I'll watch this movie not because harry, but because christopher nolan",0.0,neutral
How can a war movie be PG-13?!? Saving Private Ryan was Rated R which made it more realistic and is gonna remain the better movie of the two. Nolan is a hack who seems to care more about money.,0.4314,positive
I thought Thomas Shelby fought in the Trenches,-0.3182,negative
1:20 Russian Spy spotted,0.0,neutral
All anyone is talking about is Harty Styles. He's managed to over shadow all the great actors in this movie already lol,0.7845,positive
"FINALLY,A FUCKIN MOVIE BASED ON SOMETHING THAT ACTUALLY TOOK PLACE IN HISTORY.LOOKIN FORWARD TO IT.",0.0,neutral
Sound Design Looks so brilliant,0.7065,positive
Harry Styles is in the movie. Woah.,0.0,neutral
not interested,-0.3089,negative
I came to stare at Harry but would you look at Cillian Murphy wow he's so gorgeous. BTW I CAN'T WAIT FOR THE MOVIE THE TRAILER GAVE ME CHILLS,0.9207,positive
Historically inaccurate,0.0,neutral
I always thought this was a very interesting event when watching documentaries on ww2 and the Wehrmacht,0.4576,positive
Yup. I got the deep feeling that I'm going to cry when I watch this. Thank you Veterans for your service and sacrifice!!,0.2165,positive
The cast of this looks incredible.,0.0,neutral
the fuck is harry styles? that sounds like a fake name you'd give yourself because you have no personality and to much money.,-0.743,negative
HARRY!!!!,0.0,neutral
Peaky Blinders prequel ðŸ˜‚ðŸ˜‚,0.0,neutral
lol.. they make such movies to feel like they really were in World War :p no regrets,-0.5719,negative
"ANOTHER FUCKING WORLD WAR MOVIE. ugggghhhhhhhhhhh to Americans, thats the only fucking historical event ever happened. Bitch bye.",-0.8862,negative
aunque esta pelÃ­cula no salga en espaÃ±ol la voy a ver en inglÃ©s aunque no sepa ...pero bueno todo esto por Harry ðŸ˜šâ¤,-0.5267,negative
"Surprisingly, this trailer makes me more interested in the topic than I thought I would be. It's not the best trailer ever, but it does its job well enough. Hopefully the movie will be good!",0.8946,positive
I hope theres no one direction song in this quite possibly might beat saving private ryan movie,0.1779,positive
This was probably the worst movie i ever watched. City is like in 2017 not like in war world 2 . There is no conection and that music is so stupid and loud for no reason at all! I hate this movie and sadly this is the only place i can share my opinion. Because i just cant belive it that movie like this have 9 in imdb!,-0.8444,negative
That high pitched propeller sound keeps bringing me back to this trailer.,0.0,neutral
"Looks okay, but the cast is hideously white.....",0.1154,positive
"OK directioners, this is not going to be the best movie ever because Harry Styles is in it. 
 OK movie lovers this is not going to be the worst movie ever because Harry Styles is in it.
 In Christopher Nolan we trust.",0.913,positive
Nice video. You may also want to checkout the review of Bar brothers on my blog at dennisreviews. com/bar-brothers-review/ Thanks. Omer.,0.7184,positive
Probably everybody came here for Harry,0.0,neutral
i really hope this movie is good,0.7264,positive
battlefield 1 new dlc confirmed,-0.3818,negative
"All I see is comments hating on people who comment about loving Harry Styles, but I have yet to actually see a comment about loving Harry Styles...",0.7684,positive
Looks like a fantastic movie.. only if the beach was that clean with no blood =\,0.6597,positive
How does one trailer trigger so many people at once lmao not just about Harry styles but all these yanks ante getting angry and preaching about shit they need to get over,-0.836,negative
"Me: Walks into theater
 See's a bunch of 12 year old girls in all the seats
 Walks out",0.0,neutral
Will watch in Theatre,0.0,neutral
it wil be wonderful to watch on july 2017,0.5719,positive
"Be giving this a miss, I thinks........",0.1655,positive
Hope the one direction guys die a gruesome and horrible death in this film... It would be great to see all the shitty fangirls crying in the theater on opening night.,-0.9001,negative
Dunkirk 716 !!!!,0.0,neutral
I'm so excited!!!,0.5528,positive
"Why not get an actual good actor to play the lead? Like I don't care if this boyband boy is in the movie. But an important part of history, and big movie coming up & you make a boyband singer the lead? C'mon..",0.6305,positive
ayy peaky blinders fool,-0.4404,negative
super!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0.0,neutral
yes so what if we're excited for Harry? We excited for the movie too! so stop hating on us and mind your own business,0.0893,positive
"I was a directioner, and I used to love the boys, but there is no place for Harry in this movie or any other movie. He can't act. He is a singer.",-0.0516,negative
boring movie shouldve watched spiderman,-0.3182,negative
"To all of those that are tearing down all the One Direction/Harry Styles fans and Harry Styles himself, shame on you. While I am very happy to see Harry Styles in this movie, all the fans should remember that the movie is not about him, but about a dark time that the world was going through in which countless people lost their lives",-0.3619,negative
Fuckk it loooks soooo GOOOD I CANT BREATHE,0.0,neutral
Nolan + Zimmer + Hardy + Murphy + WWII = Success,0.7506,positive
"Just like most of Christopher Nolan movies, I had to watch this trailer 3 times to understand what's going on.",0.3612,positive
"once again, chris nolan's trademarked font.",0.0,neutral
Worst movie ever i want back my 2h ffs !!!,-0.8582,negative
HAAAAAAAAAAARRRRRRRY,0.0,neutral
M,0.0,neutral
En franÃ§ais Ã§a ce dit Dunkerque,0.0,neutral
This movie is going to be fucking amazing!!!!,0.0,neutral
Spitfires and Messerschmitts ..o my,0.0,neutral
movie looks nice. what's it based on?,0.4215,positive
Harold OMFG txlgltoeurffviigr5wefsuvlhidsgdyzy ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ’”ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜,0.0,neutral
... And who the F... is Harry Styles? Should I care about him in the movie? ItÂ´s Nolan... nuff said.,0.5514,positive
Its just a movie hust enjoy it!!!,0.6219,positive
if anyone is considering going to watch this movie do it. I'm a cinephile I've taken film classes I love movies so much and I'm critical of them and this movie blew me away everything about it was just intense and perfect,0.7845,positive
ÐœÐ¾Ð¶Ð½Ð¾ Ð¸ Ð¿Ð¾ÑÐ¼Ð¾Ñ‚Ñ€ÐµÑ‚ÑŒ,0.0,neutral
HARRY STYLES OH MY GOD ðŸ˜ðŸ˜­,0.4278,positive
"If you're able to build tension without dialogue, you've made a beautiful movie.",0.3818,positive
"Damn, people focusing on Harry when this movie contains A LOT more than that",-0.4019,negative
Hans Zimmer at - 1:28,0.0,neutral
Saw it. Loved it. Better win Best Picture!!,0.9467,positive
"The ending tho, ""Home"" what a Larrie",0.0,neutral
Cilian Murphy's in it?Gotta watch it now,0.0,neutral
awesome trailerI'm sure all directioners are goin to watch this including me ;) hahahaharry is doin a gr8 jobgio chris nolan,0.9001,positive
"Harry in this film is what i live for !!! So proud of my love ðŸ˜­â¤
 Can't wait !!!",0.8677,positive
one my fav director,0.4588,positive
"It's rumored that in order to capture a realistic take on the event, Nolan invaded France.
 Got to love those practical effects.",0.6369,positive
Don't drop that dun dun Kirk,0.2057,positive
Why is everyone leaving BF1 comment on a ww2 movie trailer when BF1 is based in ww1,0.0,neutral
It's been confirmed this movie will be pg 13! WTF man!,-0.7284,negative
400 dislikes!,-0.4574,negative
"""Harry styles you think darkness is your ally? You merely adopted the dark. Tom Hardy was born in it, molded by it. Tom didn't see the light until he was already a man"" - Bane",0.1779,positive
"Hitler's magnanimity spared the lives of the men trapped at Dunkirk but the warmonger allies would never admit the truth
 
 and Hollywood forever would come up with such anti German propaganda!!!",-0.9532,negative
Unquestionably Nolan's best film to date...not as bloated or pretentious as his recentÂ work andÂ good toÂ see him move away from the Inception-Interstellar path. Equally refreshing to have a WW2 filmÂ highlighting the British courage and sacrifice.,0.8834,positive
christopher Noland acchi movies banata h.,0.0,neutral
