timestamp,comment_text,likes,has_replies,number_of_comments
1520252225979,OSCAR,0,FALSE,0
1520248625987,Christopher Nolan + Hans Zimmer = perfection,0,FALSE,0
1520248625995,This deserves an Oscar and not shape of you.,0,FALSE,0
1520248626004,This movie was like watching a loud plane fly over you for 3 hours...there was no climax or anything...disappointing,0,FALSE,0
1520248626010,"Get fucked Nolan, no oscars for you.",0,FALSE,0
1520248626048,HARRYYYYYYðŸ˜ðŸ˜ðŸ˜ like if you want to see it for harry,0,FALSE,0
1520248626056,Christopher Nolan should've won oscar..but its ok..,8,FALSE,0
1520248626064,"I saw operation Dunkirk thinking it was this, but it was a rip-off instead",0,FALSE,0
1520248626069,THIS MOVIE MAKES ME WANNA THROW UP SO BAD,0,FALSE,0
1520248626079,Best Film Editing - Oscar,0,FALSE,0
1520248626084,"Such a shame that this film lost to a film like ""The Shape of Water"".",1,FALSE,0
1520248626092,You know the Oscars are garbage when the shape of water wins over a masterpiece like this.,0,FALSE,0
1520248626102,DUNKIRK movie [ nerdy.bid/HS32F ],2,FALSE,0
1520248626114,Oh yeah....Got oscarðŸ‘ŒðŸ‘Œ,1,FALSE,0
1520248626123,wow nice trailer,0,FALSE,0
1520248626132,LAME,0,FALSE,0
1520248626141,When u have no idea u make a movie about war;)such a banal movie proposed for oscar?!think that oscars r banal too...,0,FALSE,0
1520162226151,This is the best ww2 movie ever,0,FALSE,0
1520162226159,This movie is proof you don't need gore to be emotionally scarred by a film. A masterpiece.,0,FALSE,0
1520162226169,Nolan is a legend.,2,FALSE,0
1520075828121,"I am watching this movie and I learned something: war is bad and frustrating. But I never knew it could be so fucking boring. I hope something exciting happens, something more than people drowning. Wow, people in the water just caught fire. Gasoline in the water 'n' all. Something actually happened. Now back to closeups of men looking worried and pilots playing with their glass canopies. That's a lot of actors to have to hire, cloth in uniforms, so they can stand around looking all dirty or oily. Oh What a war what a war. Holy shit, somebody showed up at a newspaper's offices with a photograph! That was interesting. Hey I thought that looked like Bane (now if mad max were in this movie that might have been worth the price of admission. Hell, there isn't even an insane asylum full of loonies to convince into following one to safety). The Thin Red Line had poetry and it was much more fucking interesting.",0,FALSE,0
1519989428129,"I dont know why peeople go crazy about this movie?! No real action,no particular tention, just a lot of people waiting on a sand beach,for me this feels like it is unfinished. But I guess it is forced by some one,just like that movie Black Panther..",0,TRUE,1
1519903028139,worst god damn movie ive ever saw,0,FALSE,0
1519903028144,I really hope this wins the Oscars. It deserves to.,0,FALSE,0
1519816628152,stupid movie i didnt like it and i donâ€™t understand the high ratings,0,FALSE,0
1519816628159,"Awesome trailer, movie is a waste of time.",0,FALSE,0
1519730228165,"Boby really carved out a name in the business, gotta love it",0,FALSE,0
1519730228169,"Am I the only one who found the movie below par? Maybe was expecting too much after Saving Pvt Ryan, Enemy at the gates and Fury",0,FALSE,0
1519730228176,"I watched this on the phone, I kept turning up the volume to hear stuff and out of nowhere a plane comes up and scares the shit out of me",0,FALSE,0
1519730228180,"does hardy even have a consistent role in the movie? cause harry isnt enough for me to watch it. the movie twists what actually happened in real life (of course), it seems its just the cinematography and surround (if youre fortunate for that) sound is all it can show for it.",0,FALSE,0
1519730228188,"i skipped backwards and yep that was him, our tom hardy",0,FALSE,0
1519730228196,Is the song used in the trailer in the filmâ€™s album?,0,FALSE,0
1519730228201,Harry's still gorgeous tho,0,FALSE,0
1519730228209,Saw this movie about 6 7 months still come back to watch the trailer for 10000 time idk this movie is a fucking masterpiece it will be a shame if some other movie wins the intensity the direction the effects are fucking top notch and in imax it felt like you are sitting on the beach of dunkirk yourself,1,FALSE,0
1519730228215,Where's Red Daniels? ðŸ˜‚,0,FALSE,0
1519730228224,Boring AF,0,TRUE,3
1519730228235,God. This movie is just so boring,0,TRUE,1
1519730228244,https://www.youtube.com/watch?v=UmATHQpYVvA&t=19s,0,FALSE,0
1519730228250,this is by far the best war movie ive ever seen beter then saving privet ryan,0,FALSE,0
1519730228260,1:43 ðŸ˜ðŸ˜,0,FALSE,0
1519730231501,"Being liked by all doesnâ€™t mean itâ€™s good.I donâ€™t think everyone likes this movie but I donâ€™t hate it,i just think that the directors and producers could have done it better,the screen play leaves to be desired,the cinematography is good but still it doesnâ€™t deserve an oscar for my opinion.",1,TRUE,1
1519730231506,DID I JUST SEE HARRY FRIGGIN STYLES??>!,0,FALSE,0
1519730231514,"You can practically see it from here.
 What?
 Me:oscar",0,FALSE,0
1519730231518,i came here cuz of thomas shelby,0,FALSE,0
1519730231528,watch the full movie here https://www.youtube.com/watch?v=ZEuDxt4FlHo,0,FALSE,0
1519730231537,"The 9,000 people that disliked this video are assholes, or neo Nazis.",0,TRUE,1
1519125431547,"I would like to know about the army from Germany, What happened to him?! ðŸ˜¢ðŸ˜¢",0,FALSE,0
1519125431554,Rubish movie!,0,TRUE,1
1519125431562,I feel sorry for Gibson,0,FALSE,0
1519125431570,It is awwwweeeeessssoooommmmeeeeðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜,1,FALSE,0
1519125431574,"A complete Bullshit story that fits in well with the nonsense people are force fed in education, Hitler allowed the British to escape in the hope of a ""another"" peace deal plea between the two countries - no chance of that with the drunken lunatic Zionist puppet Churchill",0,FALSE,0
1519125431583,origins of the peaky blinders ? xD,0,FALSE,0
1519125431614,fkn shitty boring ass movie wasted time,0,FALSE,0
1519125431620,one of those awkward moments you dont wanna go to Belgium,1,FALSE,0
1519125431628,It was a little boring to be honest-very well shot but underwhelming,0,FALSE,0
1519125431632,It's sad only stupid ignorant people that know nothing about history would think this movie was good it was so inaccurate truly sad. I'M SO TIRED OF FILTHY HOLLYWOOD LYING TO OUR YOUNG PEOPLE,0,TRUE,1
1519125431643,"Hollywood is nothing but a gang of criminals it's such a damn shame how they twist history this movie won all kinds of awards and it's the most inaccurate to the point of actual Criminal !!!!there's nothing worse than the filthy scum pedophiles of Hollywood so now everybody watches this stupid movie from Hollywood they think this is what Dunkirk was like the movie was a complete absolute lie it was much much much more intense. There was hundreds of stuka attacks!!! 300,000 men. They fought a bloody bloody rear action. the movie showed none of this !!!my best friend's father fought for his life off of Dunkirk Beach and he couldn't believe it!!!! 98 years old and he walked out of the theater this poor old man with such disgrace from watching just a little bit of this movie it made him cry. FILTHY SCUM HOLLYWOOD SHOULD BE ASHAMED OF THEMSELVES.",0,TRUE,1
1519125431652,"For the British soldiers and French troops defending the city of Dunkirk, France was a battle between good and evil in where they evacuated under the saddened circumstances before the nazis came in and became the enemy occupier of the first town of France they had invaded.",0,FALSE,0
1519125431661,harry style is the best soldier,0,FALSE,0
1519125431667,This seemed more of a documentary rather than a film tbh..,0,FALSE,0
1519125434256,Hitler allowed the allies to scape at Dunkirk..,1,TRUE,1
1519125434267,Just saw this. Beautiful 2 hour trailer! When does the movie come out?,0,FALSE,0
1519125434276,"this was totally overhyped, theres not really much to it. it was a mess to watch. what a waste of time",0,FALSE,0
1519125434281,Love this movie,1,FALSE,0
1519125434290,greatest war movie in my opinion,0,FALSE,0
1519125434295,such a cool movie,0,FALSE,0
1519125434302,Such a good movie ðŸ‘Œ,0,FALSE,0
1519125434310,Best Director of all time . He should make Justice League movie he's a guy who can change a weak into strongest Like Bane .I know he'll not cast any superhero movies but I love watching movies .Chris Nolan,1,FALSE,0
1519125434315,very emotional movie,1,FALSE,0
1519125434320,Doh hsbe ksjebs mhggeshbiubsndj jhhhd,0,FALSE,0
1519125434325,im only here for Harry but the movie looks great!!,0,FALSE,0
1518520634331,"another Hollywood type show to wash up the history . Stupid times , stupid people",0,FALSE,0
1518520634336,Harry Styles omg,0,FALSE,0
1518520634342,"I'm not going to lie, this movie was a bore, I felt sleepy right after 30 minutes. I've seen way better war movies then this. Hacksaw Ridge vs Dunkirk= Hacksaw Wins with a knockout in the first round!!",0,TRUE,1
1518520634351,Only wanna watch this because cillian Murphy is in it,0,FALSE,0
1518520634356,ðŸ˜ŽðŸ˜ŽðŸ˜ŽðŸ’¥ðŸ’£ðŸ’£ðŸ’£,0,FALSE,0
1518520634363,British spirit will never ever be broken.,1,FALSE,0
